date,OP,CP,HP,LP,DF,RD,TV,TC,TO
2017-06-15,0.98,0.99,0.99,0.98,0.06,1,146000,2,143210
2017-06-16,0.94,0.92,0.94,0.92,-0.07,-1,181000,8,169510
2017-06-19,0.96,1.04,1.07,0.96,0.12,1,207000,15,213930
2017-06-20,0.99,0.97,1.03,0.97,-0.07,-1,178000,15,176060
2017-06-21,0.95,0.96,1.0,0.95,-0.01,-1,67000,10,64340
2017-06-23,0.97,0.96,0.99,0.95,0.01,1,50000,8,48170
2017-06-26,0.95,1.01,1.01,0.93,0.05,1,86000,12,82630
2017-06-27,0.95,0.95,0.95,0.95,-0.06,-1,38000,5,36100
2017-06-28,0.96,0.95,0.96,0.95,0.0,0,358000,3,341450
2017-06-29,0.97,1.1,1.1,0.97,0.15,1,549000,11,552190
2017-06-30,0.79,0.77,0.79,0.77,-0.33,-1,389000,4,306650
2017-07-03,0.87,0.87,0.87,0.87,0.1,1,5000,1,4350
2017-07-04,0.83,0.83,0.83,0.83,-0.04,-1,10000,1,8300
2017-07-05,0.83,0.83,0.83,0.83,0.0,0,10000,1,8300
2017-07-07,0.95,1.0,1.04,0.95,0.16,1,442000,13,431510
2017-07-10,0.99,1.0,1.01,0.98,0.0,0,469000,8,467140
2017-07-11,1.08,1.19,1.19,1.08,0.19,1,144000,18,165100
2017-07-12,1.26,1.51,1.53,1.25,0.32,1,658000,27,853730
2017-07-13,1.47,1.5,1.5,1.39,-0.01,-1,712000,33,1036680
2017-07-14,1.54,1.47,1.68,1.47,-0.03,-1,393000,15,638350
2017-07-17,1.58,1.51,1.62,1.51,0.04,1,458000,12,722600
2017-07-18,1.53,1.72,1.72,1.47,0.21,1,1305000,43,2073170
2017-07-19,1.76,1.61,1.77,1.61,-0.11,-1,1122000,62,1902140
2017-07-20,1.58,1.53,1.59,1.48,-0.08,-1,173000,13,266340
2017-07-21,1.57,1.57,1.57,1.57,0.04,1,38000,2,59660
2017-07-24,1.47,1.45,1.48,1.44,-0.12,-1,90000,4,131500
2017-07-25,1.5,1.55,1.59,1.5,0.1,1,405000,14,632400
2017-07-26,1.54,1.45,1.54,1.45,-0.1,-1,304000,9,449210
2017-07-27,1.42,1.48,1.5,1.42,0.03,1,164000,8,240740
2017-07-28,1.55,1.42,1.68,1.39,-0.06,-1,428000,25,678540
2017-07-31,1.42,1.32,1.42,1.32,-0.1,-1,185000,10,257780
2017-08-01,1.37,1.28,1.37,1.28,-0.04,-1,47000,12,62020
2017-08-02,1.42,1.6,1.63,1.42,0.32,1,1024000,42,1579950
2017-08-03,1.5,1.42,1.5,1.38,-0.18,-1,1185000,47,1687690
2017-08-04,1.47,1.42,1.47,1.37,0.0,0,413000,11,589660
2017-08-07,1.43,1.63,1.64,1.43,0.21,1,1556000,51,2349020
2017-08-08,1.64,1.5,1.64,1.44,-0.13,-1,1062000,43,1691540
2017-08-09,1.41,1.24,1.41,1.24,-0.26,-1,136000,7,178660
2017-08-10,1.04,1.27,1.29,0.8,0.03,1,234000,12,266230
2017-08-11,1.22,1.28,1.3,1.22,0.01,1,81000,5,101280
2017-08-14,1.11,1.07,1.11,1.07,-0.21,-1,46000,2,50940
2017-08-15,1.12,1.12,1.12,1.12,0.05,1,10000,1,11200
2017-08-17,1.23,1.29,1.32,1.23,0.17,1,256000,13,325590
2017-08-18,1.24,1.18,1.25,1.18,-0.11,-1,202000,11,246910
2017-08-21,1.21,1.26,1.28,1.2,0.08,1,138000,13,172540
2017-08-22,1.27,1.25,1.28,1.19,-0.01,-1,116000,10,145000
2017-08-23,1.3,1.41,1.44,1.3,0.16,1,648000,29,890770
2017-08-24,1.43,1.35,1.43,1.35,-0.06,-1,862000,30,1189930
2017-08-25,1.34,1.47,1.49,1.33,0.12,1,498000,27,696780
2017-08-28,1.43,1.45,1.45,1.39,-0.02,-1,352000,24,502400
2017-08-29,1.42,1.55,1.56,1.37,0.1,1,168000,16,247430
2017-08-30,1.45,1.49,1.5,1.42,-0.06,-1,193000,16,283040
2017-08-31,1.64,1.88,1.88,1.64,0.39,1,967000,55,1678540
2017-09-01,1.72,1.7,1.73,1.65,-0.18,-1,652000,26,1097510
2017-09-04,1.55,1.49,1.55,1.49,-0.21,-1,60000,2,91800
2017-09-05,1.53,1.58,1.58,1.51,0.09,1,33000,5,51100
2017-09-06,1.51,1.47,1.57,1.47,-0.11,-1,99000,7,152170
2017-09-07,1.55,1.51,1.57,1.51,0.04,1,71000,10,108120
2017-09-08,1.49,1.78,1.81,1.49,0.27,1,157000,19,254630
2017-09-11,1.78,1.65,1.78,1.65,-0.13,-1,91000,9,158310
2017-09-12,1.66,1.72,1.74,1.66,0.07,1,40000,6,67640
